2.7266	3.0102
3.1304	2.4673
3.0492	2.525
3.226	3.1649
2.7223	2.5713
3.2862	2.8255
3.111	3.2994
3.2398	2.9681
2.8661	2.5533
3.2616	3.4902
1.99	3.2137
2.7017	2.61
3.0131	3.5208
2.8395	2.6816
2.9831	3.1657
3.7537	2.6608
3.0544	2.6474
3.3826	3.2356
3.2362	3.1535
3.0911	2.7883
2.4905	2.8723
2.8458	2.7137
2.7267	3.1528
3.1643	3.0671
3.3906	2.3585
2.1004	3.0724
2.8911	3.2043
2.6157	2.1725
3.1961	3.1735
1.7841	3.0763
3.4923	3.4455
3.4772	3.3968
3.3189	3.5495
3.2798	2.1895
2.2937	3.3527
2.8161	3.2286
2.3536	3.5656
3.3436	2.9659
3.0465	2.5304
3.9403	3.0006
2.9572	2.5322
3.1434	2.7548
2.9806	3.0031
3.6446	2.7736
2.8164	3.6278
3.4821	4.0864
3.6661	2.6847
2.3413	3.4814
3.2312	2.7373
2.6234	2.5361
3.2563	2.973
2.8906	2.0936
3.1462	3.7418
2.6438	2.7712
3.5794	2.373
2.3408	3.4678
2.9322	3.1776
3.2282	3.4508
2.8451	2.6851
3.1893	2.7909
2.7477	2.3049
2.5491	3.6024
3.3117	3.0164
3.0925	3.1162
2.884	2.7418
3.118	2.6412
3.4545	2.0397
2.4624	3.095
2.5876	2.6469
3.0391	3.5873
2.6821	3.3018
1.9979	2.7849
3.6046	4.4167
2.8052	2.3741
3.3704	3.5485
2.5016	2.8316
2.4297	2.3209
3.5564	2.5427
2.8552	2.5938
2.5227	2.2445
3.6131	3.0072
3.5096	3.6762
2.8118	2.9116
3.4572	3.1999
3.2817	2.5862
3.1585	2.6506
3.3324	2.3196
3.282	3.3363
2.9604	3.1444
2.7604	2.7121
2.953	2.5977
2.518	3.3706
3.1038	3.2042
2.6108	3.2932
2.7133	3.5879
3.022	3.2819
3.2887	3.6587
2.7811	2.5675
3.1395	2.8455
2.8075	2.9971
2.5235	3.3553
3.3622	3.1813
2.6712	4.1989
3.1562	3.9358
2.9157	3.2074
2.3513	2.7011
3.2596	2.7134
2.7007	2.8752
3.0785	2.813
3.5539	2.7665
3.4948	2.4448
3.4598	2.0789
2.4891	2.8472
3.3896	2.505
2.5973	2.8949
3.5049	3.6834
2.559	2.9035
2.1629	3.0291
2.5993	2.5164
3.1497	3.167
2.7022	3.2358
3.0475	3.2566
3.2959	3.3595
2.8036	2.3961
2.9221	3.2034
3.097	3.7377
2.7234	3.4401
2.6777	2.7403
2.1883	2.8882
3.0051	3.3939
2.7537	2.5876
2.6726	3.4831
3.3822	2.4474
2.6018	2.4145
3.2896	3.308
2.7854	2.3219
2.574	2.3544
2.7345	2.6018
4.2289	3.058
2.6282	3.4221
3.3936	3.1938
2.4638	3.8204
3.0994	2.4435
3.508	3.7114
2.6488	2.0721
2.2956	3.4115
1.8437	3.1186
2.83	2.7157
2.7668	3.8732
7.4256	8.266
8.703	7.4874
8.4307	7.7491
8.0501	8.6516
8.5896	8.4566
8.0519	8.3274
8.4173	7.5257
8.579	7.8808
8.0708	7.9862
8.0786	8.4343
8.2881	8.821
8.2579	7.8648
7.5377	7.2675
7.7397	7.5936
8.3348	7.9979
8.0718	8.6614
7.3806	8.1896
7.6868	7.733
8.2079	7.3411
7.7795	7.8079
9.2059	7.8076
8.5043	8.3472
